Date,bitcoin,russel,nasdaq
2016-02-22,437.747986,1945.5,4214.75
2016-02-23,420.735992,1921.27002,4159.25
2016-02-24,424.954987,1929.800049,4208.5
2016-02-25,424.544006,1951.699951,4244.25
2016-02-26,432.152008,1948.050049,4230.0
2016-02-29,437.696991,1932.22998,4201.25
2016-03-01,435.122986,1978.349976,4337.75
2016-03-02,423.989014,1986.449951,4329.25
2016-03-03,421.651001,1993.400024,4320.25
2016-03-04,410.938995,1999.98999,4322.5
2016-03-07,414.321014,2001.76001,4300.0
2016-03-08,413.971985,1979.26001,4270.5
2016-03-09,414.859985,1989.26001,4294.5
2016-03-10,417.131012,1989.569946,4285.0
2016-03-11,421.690002,2022.189941,4352.75
2016-03-14,416.437988,2019.640015,4366.0
2016-03-15,416.829987,2015.930054,4364.5
2016-03-16,417.010986,2027.219971,4397.5
2016-03-17,420.621002,2040.589966,4402.25
2016-03-18,409.548004,2049.580078,4414.25
2016-03-21,413.307007,2051.600098,4416.25
2016-03-22,418.088989,2049.800049,4434.5
2016-03-23,418.040985,2036.709961,4395.5
2016-03-24,416.394012,2035.939941,4397.25
2016-03-28,424.230988,2037.050049,4389.5
2016-03-29,416.515991,2055.01001,4458.25
2016-03-30,414.81601,2063.949951,4482.0
2016-03-31,416.729004,2059.73999,4476.25
2016-04-01,417.959991,2072.780029,4528.5
2016-04-04,421.444,2066.129883,4500.25
2016-04-05,424.029999,2045.170044,4469.5
2016-04-06,423.412994,2066.659912,4535.0
2016-04-07,422.744995,2041.910034,4470.25
2016-04-08,420.348999,2047.599976,4467.25
2016-04-11,422.483002,2041.98999,4451.5
2016-04-12,425.190002,2061.719971,4490.0
2016-04-13,423.734009,2082.419922,4547.75
2016-04-14,424.282013,2082.780029,4546.25
2016-04-15,429.713013,2080.72998,4538.5
2016-04-18,428.591003,2094.340088,4546.5
2016-04-19,435.509003,2100.800049,4526.75
2016-04-20,441.389008,2102.399902,4535.75
2016-04-21,449.424988,2091.47998,4497.75
2016-04-22,445.737,2091.580078,4465.75
2016-04-25,461.425995,2087.790039,4472.25
2016-04-26,466.088989,2091.699951,4452.5
2016-04-27,444.687012,2095.149902,4423.75
2016-04-28,449.010986,2075.810059,4382.0
2016-04-29,455.096985,2065.300049,4331.5
2016-05-02,444.669006,2081.429932,4369.0
2016-05-03,450.303986,2063.370117,4334.5
