,gold,bitcoin,cpi,oil
,close,close,close,close
date,,,,
2011-09-19,1786.3,5.5,25.87,86.27
2011-09-20,1816.6,6.1,25.86,87.43
2011-09-21,1815.3,5.6,25.85,86.46
2011-09-22,1748.8,5.4,25.85,80.99
2011-09-23,1646.3,5.6,25.88,80.4
2011-09-26,1601.0,4.9,25.8,80.73
2011-09-27,1659.0,4.9,25.77,84.94
2011-09-28,1624.8,4.8,25.78,81.73
2011-09-29,1624.2,4.8,25.69,82.55
2011-09-30,1629.1,5.1,25.74,79.46
2011-10-03,1664.6,5.0,25.75,78.04
2011-10-04,1623.0,5.0,25.74,76.07
2011-10-05,1648.4,4.9,25.8,79.96
2011-10-06,1660.1,4.7,25.81,82.93
2011-10-07,1642.7,4.3,25.81,83.25
2011-10-10,1677.9,4.1,25.73,85.67
2011-10-11,1668.0,3.9,25.81,86.16
2011-10-12,1689.6,4.2,25.81,85.95
2011-10-13,1675.2,4.1,25.79,84.63
2011-10-14,1689.8,4.0,25.82,87.1
2011-10-17,1683.4,2.6,25.82,86.8
2011-10-18,1659.4,2.4,25.8,88.68
2011-10-19,1653.7,2.3,25.84,86.43
2011-10-20,1619.5,2.3,25.79,86.21
2011-10-21,1642.8,2.6,25.76,87.47
2011-10-24,1659.1,2.5,25.79,91.14
2011-10-25,1707.2,2.8,25.88,92.93
2011-10-26,1730.5,2.8,25.9,90.18
2011-10-27,1754.9,3.0,25.91,93.82
2011-10-28,1754.3,3.2,25.97,93.24
2011-10-31,1732.2,3.3,25.98,93.08
2011-11-01,1719.0,3.2,25.96,92.05
2011-11-02,1737.0,3.3,25.96,92.35
2011-11-03,1772.7,3.2,25.99,93.91
2011-11-04,1763.8,3.1,26.03,94.19
2011-11-07,1799.0,3.0,26.01,95.45
2011-11-08,1807.2,3.0,26.05,96.7
2011-11-09,1799.6,3.0,26.05,95.64
2011-11-10,1767.5,2.8,25.96,97.68
2011-11-11,1796.3,3.1,25.94,98.89
2011-11-14,1786.6,2.2,26.01,98.22
2011-11-15,1790.6,2.3,26.01,99.43
2011-11-16,1783.1,2.6,26.03,102.6
2011-11-17,1729.5,2.3,26.01,98.93
2011-11-18,1734.7,2.0,25.97,97.67
2011-11-21,1688.6,2.3,25.97,96.92
2011-11-22,1712.9,2.3,25.9,98.01
2011-11-23,1706.5,2.3,25.94,96.17
2011-11-25,1696.4,2.5,25.87,96.77
2011-11-28,1722.6,2.5,25.79,98.21
2011-11-29,1726.5,2.8,25.93,99.79
2011-11-30,1757.6,3.0,25.93,100.36
2011-12-01,1747.4,3.1,26.03,100.2
2011-12-02,1759.4,3.1,26.01,100.96
2011-12-05,1742.4,2.9,26.06,100.99
2011-12-06,1739.6,3.0,26.08,101.28
2011-12-07,1752.5,3.0,26.06,100.49
2011-12-08,1720.8,3.0,26.08,98.34
2011-12-09,1724.2,3.0,25.98,99.41
2011-12-12,1674.9,3.1,26.01,97.77
2011-12-13,1669.6,3.3,25.96,100.32
2011-12-14,1592.9,3.2,25.94,95.14
2011-12-15,1583.2,3.2,25.85,94.07
2011-12-16,1604.1,3.2,25.83,93.75
2011-12-19,1603.1,3.5,25.91,94.05
2011-12-20,1624.2,4.0,25.89,97.24
2011-12-21,1620.3,3.9,25.97,98.67
2011-12-22,1617.5,3.9,25.96,99.53
2011-12-23,1613.1,4.0,25.99,99.68
2011-12-27,1602.6,4.1,25.98,101.34
2011-12-28,1571.0,4.2,26.0,99.36
2011-12-29,1547.6,4.2,25.91,99.65
2011-12-30,1573.8,4.3,25.94,98.83
2012-01-03,1607.8,4.9,25.94,102.96
2012-01-04,1620.4,5.6,26.01,103.22
2012-01-05,1627.9,6.9,25.98,101.81
2012-01-06,1624.5,6.7,25.98,101.56
2012-01-09,1615.7,6.3,26.0,101.31
2012-01-10,1639.6,6.4,25.99,102.44
2012-01-11,1647.9,6.9,26.04,101.09
2012-01-12,1656.1,6.8,26.07,99.31
2012-01-13,1638.9,6.4,26.05,98.88
2012-01-17,1663.7,5.6,26.06,100.87
2012-01-18,1668.1,5.9,26.1,100.76
2012-01-19,1662.5,6.4,26.12,100.54
2012-01-20,1672.1,6.5,26.09,98.33
2012-01-23,1686.6,6.4,26.04,99.58
2012-01-24,1672.6,6.3,26.05,98.95
2012-01-25,1708.4,5.8,26.04,99.4
2012-01-26,1735.3,5.3,26.11,99.7
2012-01-27,1740.9,5.3,26.14,99.56
2012-01-30,1739.9,5.5,26.17,98.78
2012-01-31,1745.8,5.5,26.18,98.48
2012-02-01,1754.8,6.1,26.21,97.61
2012-02-02,1764.6,6.1,26.22,96.36
2012-02-03,1745.5,6.0,26.24,97.84
2012-02-06,1730.1,5.4,26.21,96.91
2012-02-07,1753.7,5.7,26.22,98.41
2012-02-08,1736.6,5.6,26.23,98.71
2012-02-09,1746.6,5.8,26.23,99.84
2012-02-10,1730.7,5.9,26.2,98.67
2012-02-13,1730.3,5.3,26.19,101.29
2012-02-14,1722.9,4.5,26.23,101.08
